case,P_fraction,P_W,branch_id,body_pair,interface_ids,coupling_type,Q_W,Q_over_P,Q_mortar_part_W,Q_conformal_part_W,sign,source,closure_W,Q_in_from_TES_W,Q_in_from_Membrane_Si1_W,Q_in_from_SiO2_1_W,Q_in_from_Membrane_SiNx_W,status,negative_edge_flow_over_P
historical,1.05,3.3631550002206354e-10,B0s,Stycast+abs->TES,TES__zmax / Stycast__zmin (mortar),mortar,5.516159463797477e-18,1.640174022141589e-08,,,+ = out of Stycast/abs,native edge flow + mortar reaction; dead end,5.516159463797477e-18,,,,,,
historical,1.05,3.3631550002206354e-10,A,Membrane_SiNx window sheet (z191-192um) -> SiNx/Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.0043632596008508e-11,0.029863721997200866,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,2.9456868866923643e-23,3.3631585633502347e-10,-3.262722237390442e-10,0.0,,,
historical,1.05,3.3631550002206354e-10,B,Membrane_Si1 window sheet (z176-191um) -> Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.5066743017790286e-10,0.4479943094148754,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,7.663249950933657e-23,0.0,,-1.7560479356189543e-10,3.262722237397216e-10,,
historical,1.05,3.3631550002206354e-10,C,"SiO2_1 window sheet (z175-176um, back-etched) -> SiO2_1 frame at window perimeter",window perimeter s=350um,conformal,1.7560479356416322e-10,0.5221430280574131,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,9.696612298205e-22,0.0,1.7560479356320413e-10,,0.0,,
historical,1.05,3.3631550002206354e-10,M,frame/SiO2_2->bath,SiO2_2__zmin (Dirichlet),Dirichlet,3.3631586416261427e-10,1.0000010827349637,,,+ = into bath,native edge flow into Dirichlet rows,3.6414055073315346e-16,,,,,,
historical,1.05,3.3631550002206354e-10,A+B+C,sum of parallel sheet exits,,,3.363158563380746e-10,1.0000010594694893,,,,sum,9.541547649447204e-18,,,,,,
historical,1.05,3.3631550002206354e-10,edge-attribution,TES_footprint_edge|perimeter_inside,,,2.219216276120948e-10,0.659861432486864,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-50.069580925356746
historical,1.05,3.3631550002206354e-10,edge-attribution,TES_footprint_edge|perimeter_outside,,,2.101062273467599e-10,0.6247295391766843,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-48.8272236241673
historical,1.05,3.3631550002206354e-10,edge-attribution,window_perimeter|perimeter_inside,,,3.3631585646447336e-10,1.0000010598453233,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-24.238302223312054
historical,1.05,3.3631550002206354e-10,edge-attribution,window_perimeter|perimeter_outside,,,3.3631585633812374e-10,1.0000010594696354,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-777.8449366367184
best_phase24,0.95,3.04285452400797e-10,B0,TES->Membrane_SiNx,TES__zmin / Membrane_SiNx__zmax(under TES),conformal + 18 hanging-node mortar rows,3.042748985563173e-10,0.9999653159742065,1.044024938022908e-11,2.9383464917608824e-10,+ = out of TES,native assembled edge flow across closed TES/Stycast/abs cut + mortar reaction C^T lambda,-1.0554515128618398e-14,,,,,,
best_phase24,0.95,3.04285452400797e-10,B0s,Stycast+abs->TES,TES__zmax / Stycast__zmin (mortar),mortar,-6.706489402363224e-19,-2.204012498609236e-09,,,+ = out of Stycast/abs,native edge flow + mortar reaction; dead end,-6.706489402363224e-19,,,,,,
best_phase24,0.95,3.04285452400797e-10,A,Membrane_SiNx window sheet (z191-192um) -> SiNx/Si_1 frame at window perimeter,window perimeter s=350um,conformal,2.2290107523730827e-12,0.007325393753747671,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,-1.6869154981388375e-23,3.042748985281408e-10,-3.0204588777575036e-10,0.0,,,
best_phase24,0.95,3.04285452400797e-10,B,Membrane_Si1 window sheet (z176-191um) -> Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.3929870111016352e-10,0.4577895525767129,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,-6.920645453646103e-24,0.0,,-1.6274718666568487e-10,3.020458877758553e-10,,
best_phase24,0.95,3.04285452400797e-10,C,"SiO2_1 window sheet (z175-176um, back-etched) -> SiO2_1 frame at window perimeter",window perimeter s=350um,conformal,1.6274718666630843e-10,0.5348503695534613,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,5.164115905285594e-22,0.0,1.6274718666580504e-10,,0.0,,
best_phase24,0.95,3.04285452400797e-10,M,frame/SiO2_2->bath,SiO2_2__zmin (Dirichlet),Dirichlet,3.042749756728347e-10,0.9999655694089887,,,+ = into bath,native edge flow into Dirichlet rows,-1.0476727962287153e-14,,,,,,
best_phase24,0.95,3.04285452400797e-10,A+B+C,sum of parallel sheet exits,,,3.0427489852884505e-10,0.9999653158839219,,,,sum,-2.747227080532287e-20,,,,,,
best_phase24,0.95,3.04285452400797e-10,edge-attribution,TES_footprint_edge|perimeter_inside,,,3.0427489852907914e-10,0.9999653158846912,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-8.135367292517389
best_phase24,0.95,3.04285452400797e-10,edge-attribution,TES_footprint_edge|perimeter_outside,,,3.0427489852908767e-10,0.9999653158847193,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-7.608761602512256
best_phase24,0.95,3.04285452400797e-10,edge-attribution,window_perimeter|perimeter_inside,,,3.042748985295721e-10,0.9999653158863112,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-1.6197625420760364
best_phase24,0.95,3.04285452400797e-10,edge-attribution,window_perimeter|perimeter_outside,,,3.042748985288838e-10,0.9999653158840492,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-19.185893012987833
best_phase24,1.0,3.2030047621136534e-10,B0,TES->Membrane_SiNx,TES__zmin / Membrane_SiNx__zmax(under TES),conformal + 18 hanging-node mortar rows,3.2028987026037865e-10,0.9999668874954164,1.0989753221722647e-11,3.09300117038656e-10,+ = out of TES,native assembled edge flow across closed TES/Stycast/abs cut + mortar reaction C^T lambda,-1.0606960083446322e-14,,,,,,
best_phase24,1.0,3.2030047621136534e-10,B0s,Stycast+abs->TES,TES__zmax / Stycast__zmin (mortar),mortar,-1.0090967605235184e-18,-3.150469123429022e-09,,,+ = out of Stycast/abs,native edge flow + mortar reaction; dead end,-1.0090967605235184e-18,,,,,,
best_phase24,1.0,3.2030047621136534e-10,A,Membrane_SiNx window sheet (z191-192um) -> SiNx/Si_1 frame at window perimeter,window perimeter s=350um,conformal,2.346330792975399e-12,0.0073254052592387105,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,-7.049309416089213e-24,3.202898702306829e-10,-3.17943539437703e-10,0.0,,,
best_phase24,1.0,3.2030047621136534e-10,B,Membrane_Si1 window sheet (z176-191um) -> Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.4663044213616212e-10,0.45779027203007067,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,-4.8732114795031374e-24,0.0,,-1.7131309730165222e-10,3.179435394378192e-10,,
best_phase24,1.0,3.2030047621136534e-10,C,"SiO2_1 window sheet (z175-176um, back-etched) -> SiO2_1 frame at window perimeter",window perimeter s=350um,conformal,1.7131309730228677e-10,0.5348512101157095,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,3.2043688104020555e-22,0.0,1.7131309730195528e-10,,0.0,,
best_phase24,1.0,3.2030047621136534e-10,M,frame/SiO2_2->bath,SiO2_2__zmin (Dirichlet),Dirichlet,3.202899473858936e-10,0.9999671282865505,,,+ = into bath,native edge flow into Dirichlet rows,-1.0528825471737796e-14,,,,,,
best_phase24,1.0,3.2030047621136534e-10,A+B+C,sum of parallel sheet exits,,,3.202898702314243e-10,0.9999668874050188,,,,sum,-2.895437166786476e-20,,,,,,
best_phase24,1.0,3.2030047621136534e-10,edge-attribution,TES_footprint_edge|perimeter_inside,,,3.2028987023163883e-10,0.9999668874056887,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-8.13538007851089
best_phase24,1.0,3.2030047621136534e-10,edge-attribution,TES_footprint_edge|perimeter_outside,,,3.2028987023164746e-10,0.9999668874057156,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-7.608773560751373
best_phase24,1.0,3.2030047621136534e-10,edge-attribution,window_perimeter|perimeter_inside,,,3.2028987024183905e-10,0.9999668874375345,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-1.619765087680932
best_phase24,1.0,3.2030047621136534e-10,edge-attribution,window_perimeter|perimeter_outside,,,3.2028987023146533e-10,0.9999668874051469,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-19.185923165330447
best_phase24,1.05,3.3631550002193367e-10,B0,TES->Membrane_SiNx,TES__zmin / Membrane_SiNx__zmax(under TES),conformal + 18 hanging-node mortar rows,3.363048419645649e-10,0.999968309348311,1.1539257063354974e-11,3.247655849012099e-10,+ = out of TES,native assembled edge flow across closed TES/Stycast/abs cut + mortar reaction C^T lambda,-1.065947607359842e-14,,,,,,
best_phase24,1.05,3.3631550002193367e-10,B0s,Stycast+abs->TES,TES__zmax / Stycast__zmin (mortar),mortar,-1.4187048017176104e-18,-4.218374715483188e-09,,,+ = out of Stycast/abs,native edge flow + mortar reaction; dead end,-1.4187048017176104e-18,,,,,,
best_phase24,1.05,3.3631550002193367e-10,A,Membrane_SiNx window sheet (z191-192um) -> SiNx/Si_1 frame at window perimeter,window perimeter s=350um,conformal,2.4636508335621194e-12,0.007325415668922325,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,-3.651811892540854e-23,3.363048419332092e-10,-3.33841191099611e-10,0.0,,,
best_phase24,1.05,3.3631550002193367e-10,B,Membrane_Si1 window sheet (z176-191um) -> Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.53962183162152e-10,0.4577909229640352,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,-4.684016518821093e-24,0.0,,-1.7987900793761507e-10,3.3384119109977145e-10,,
best_phase24,1.05,3.3631550002193367e-10,C,"SiO2_1 window sheet (z175-176um, back-etched) -> SiO2_1 frame at window perimeter",window perimeter s=350um,conformal,1.798790079382558e-10,0.5348519706243826,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,8.522967160460379e-22,0.0,1.7987900793739122e-10,,0.0,,
best_phase24,1.05,3.3631550002193367e-10,M,frame/SiO2_2->bath,SiO2_2__zmin (Dirichlet),Dirichlet,3.36304919079155e-10,0.9999685386407169,,,+ = into bath,native edge flow into Dirichlet rows,-1.0580942778670727e-14,,,,,,
best_phase24,1.05,3.3631550002193367e-10,A+B+C,sum of parallel sheet exits,,,3.3630484193396995e-10,0.9999683092573401,,,,sum,-3.0594929316498835e-20,,,,,,
best_phase24,1.05,3.3631550002193367e-10,edge-attribution,TES_footprint_edge|perimeter_inside,,,3.3630484193418823e-10,0.9999683092579892,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-8.135391646790591
best_phase24,1.05,3.3631550002193367e-10,edge-attribution,TES_footprint_edge|perimeter_outside,,,3.3630484193419267e-10,0.9999683092580024,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-7.60878438011046
best_phase24,1.05,3.3631550002193367e-10,edge-attribution,window_perimeter|perimeter_inside,,,3.363048419487461e-10,0.9999683093012754,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-1.619767390851115
best_phase24,1.05,3.3631550002193367e-10,edge-attribution,window_perimeter|perimeter_outside,,,3.36304841934013e-10,0.9999683092574682,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-19.18595044602023
refined_parent,0.95,3.0428545240079706e-10,B0,TES->Membrane_SiNx,TES__zmin / Membrane_SiNx__zmax(under TES),conformal,3.042863984133225e-10,1.0000031089640269,0.0,3.042863984133225e-10,+ = out of TES,native assembled edge flow across closed TES/Stycast/abs cut + mortar reaction C^T lambda,9.45047038940068e-16,,,,,,
refined_parent,0.95,3.0428545240079706e-10,B0s,Stycast+abs->TES,TES__zmax / Stycast__zmin (mortar),mortar,-9.654865074103602e-19,-3.1729630838172506e-09,,,+ = out of Stycast/abs,native edge flow + mortar reaction; dead end,-9.654865074103602e-19,,,,,,
refined_parent,0.95,3.0428545240079706e-10,A,Membrane_SiNx window sheet (z191-192um) -> SiNx/Si_1 frame at window perimeter,window perimeter s=350um,conformal,9.170691424192523e-12,0.030138448459616538,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,7.746722064606738e-24,3.0428639841324997e-10,-2.9511570698906467e-10,0.0,,,
refined_parent,0.95,3.0428545240079706e-10,B,Membrane_Si1 window sheet (z176-191um) -> Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.3586340075306423e-10,0.4464998233767299,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,6.992636366759164e-25,0.0,,-1.5925230623591296e-10,2.951157069889767e-10,,
refined_parent,0.95,3.0428545240079706e-10,C,"SiO2_1 window sheet (z175-176um, back-etched) -> SiO2_1 frame at window perimeter",window perimeter s=350um,conformal,1.5925230623754902e-10,0.5233648371325552,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,1.5362192949216202e-21,0.0,1.5925230623591594e-10,,0.0,,
refined_parent,0.95,3.0428545240079706e-10,M,frame/SiO2_2->bath,SiO2_2__zmin (Dirichlet),Dirichlet,3.042865012392802e-10,1.0000034468900003,,,+ = into bath,native edge flow into Dirichlet rows,1.0488384831413327e-15,,,,,,
refined_parent,0.95,3.0428545240079706e-10,A+B+C,sum of parallel sheet exits,,,3.042863984148058e-10,1.0000031089689017,,,,sum,1.4832899346724323e-21,,,,,,
refined_parent,0.95,3.0428545240079706e-10,edge-attribution,TES_footprint_edge|perimeter_inside,,,3.042863984143208e-10,1.0000031089673078,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-19.014251435892998
refined_parent,0.95,3.0428545240079706e-10,edge-attribution,TES_footprint_edge|perimeter_outside,,,3.0428639841423777e-10,1.000003108967035,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-11.71100803870698
refined_parent,0.95,3.0428545240079706e-10,edge-attribution,window_perimeter|perimeter_inside,,,3.0428639843198974e-10,1.0000031090253747,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-1.5937756175686866
refined_parent,0.95,3.0428545240079706e-10,edge-attribution,window_perimeter|perimeter_outside,,,3.04286398414847e-10,1.000003108969037,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-16.534779062614366
refined_parent,1.0,3.2030047621136534e-10,B0,TES->Membrane_SiNx,TES__zmin / Membrane_SiNx__zmax(under TES),conformal,3.2030142674722384e-10,1.000002967637981,0.0,3.2030142674722384e-10,+ = out of TES,native assembled edge flow across closed TES/Stycast/abs cut + mortar reaction C^T lambda,9.510645839742364e-16,,,,,,
refined_parent,1.0,3.2030047621136534e-10,B0s,Stycast+abs->TES,TES__zmax / Stycast__zmin (mortar),mortar,5.287254548101262e-19,1.6507170425223526e-09,,,+ = out of Stycast/abs,native edge flow + mortar reaction; dead end,5.287254548101262e-19,,,,,,
refined_parent,1.0,3.2030047621136534e-10,A,Membrane_SiNx window sheet (z191-192um) -> SiNx/Si_1 frame at window perimeter,window perimeter s=350um,conformal,9.653358029626491e-12,0.03013844420030231,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,3.3477485627632294e-23,3.203014267471475e-10,-3.1064806871755473e-10,0.0,,,
refined_parent,1.0,3.2030047621136534e-10,B,Membrane_Si1 window sheet (z176-191um) -> Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.430140858443197e-10,0.4464997602749274,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,4.080024340899865e-24,0.0,,-1.6763398287324408e-10,3.106480687175598e-10,,
refined_parent,1.0,3.2030047621136534e-10,C,"SiO2_1 window sheet (z175-176um, back-etched) -> SiO2_1 frame at window perimeter",window perimeter s=350um,conformal,1.6763398287488872e-10,0.5233647631677811,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,1.3299143468177716e-21,0.0,1.6763398287343144e-10,,0.0,,
refined_parent,1.0,3.2030047621136534e-10,M,frame/SiO2_2->bath,SiO2_2__zmin (Dirichlet),Dirichlet,3.203015295979542e-10,1.0000032887449977,,,+ = into bath,native edge flow into Dirichlet rows,1.053386588863198e-15,,,,,,
refined_parent,1.0,3.2030047621136534e-10,A+B+C,sum of parallel sheet exits,,,3.2030142674883493e-10,1.0000029676430109,,,,sum,1.611089339311875e-21,,,,,,
refined_parent,1.0,3.2030047621136534e-10,edge-attribution,TES_footprint_edge|perimeter_inside,,,3.2030142674835217e-10,1.0000029676415036,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-19.014248748716835
refined_parent,1.0,3.2030047621136534e-10,edge-attribution,TES_footprint_edge|perimeter_outside,,,3.203014267483467e-10,1.0000029676414866,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-11.711006383665422
refined_parent,1.0,3.2030047621136534e-10,edge-attribution,window_perimeter|perimeter_inside,,,3.203014267661685e-10,1.0000029676971274,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-1.5937753923853548
refined_parent,1.0,3.2030047621136534e-10,edge-attribution,window_perimeter|perimeter_outside,,,3.2030142674887825e-10,1.0000029676431461,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-16.53477672583519
refined_parent,1.05,3.3631550002193367e-10,B0,TES->Membrane_SiNx,TES__zmin / Membrane_SiNx__zmax(under TES),conformal,3.363164550813446e-10,1.0000028397722105,0.0,3.363164550813446e-10,+ = out of TES,native assembled edge flow across closed TES/Stycast/abs cut + mortar reaction C^T lambda,9.569705676761776e-16,,,,,,
refined_parent,1.05,3.3631550002193367e-10,B0s,Stycast+abs->TES,TES__zmax / Stycast__zmin (mortar),mortar,1.9111567832858028e-18,5.682630693979795e-09,,,+ = out of Stycast/abs,native edge flow + mortar reaction; dead end,1.9111567832858028e-18,,,,,,
refined_parent,1.05,3.3631550002193367e-10,A,Membrane_SiNx window sheet (z191-192um) -> SiNx/Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.0136024635085088e-11,0.03013844034671028,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,7.380040593059048e-23,3.3631645508126425e-10,-3.261804304462518e-10,0.0,,,
refined_parent,1.05,3.3631550002193367e-10,B,Membrane_Si1 window sheet (z176-191um) -> Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.5016477093558385e-10,0.4464997031828461,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,4.1324751724720894e-24,0.0,,-1.7601565951055995e-10,3.2618043044613977e-10,,
