candidate_id,factors,project,steady_case,pulse_cases
mv_010_098508cc,"{""membrane_cp"": 0.8012497029767802, ""pb_cp"": 1.375816379972359, ""pb_k"": 0.8791943337095905, ""stycast_k"": 0.5542181956864208, ""tes_cp"": 1.1014743735311243}",artifacts\search\post_multivariate\candidates\mv_010_098508cc\trial_00\project.json,postsearch_mv_010_098508cc_00_steady,"{""high"": {""case"": ""postsearch_mv_010_098508cc_00_high"", ""series_file"": ""postsearch_mv_010_098508cc_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_010_098508cc_00_high"", ""series_file"": ""postsearch_mv_010_098508cc_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_011_bfed3fd8,"{""membrane_cp"": 0.6526209810407904, ""pb_cp"": 0.6634556922588541, ""pb_k"": 1.3468381605549822, ""stycast_k"": 1.328861860261233, ""tes_cp"": 0.8663998302670409}",artifacts\search\post_multivariate\candidates\mv_011_bfed3fd8\trial_00\project.json,postsearch_mv_011_bfed3fd8_00_steady,"{""high"": {""case"": ""postsearch_mv_011_bfed3fd8_00_high"", ""series_file"": ""postsearch_mv_011_bfed3fd8_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_011_bfed3fd8_00_high"", ""series_file"": ""postsearch_mv_011_bfed3fd8_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_012_d1bd3a66,"{""membrane_cp"": 0.7096291759310495, ""pb_cp"": 0.9804267196810935, ""pb_k"": 1.2952823820485768, ""stycast_k"": 1.5787143164544455, ""tes_cp"": 1.5684256520156332}",artifacts\search\post_multivariate\candidates\mv_012_d1bd3a66\trial_00\project.json,postsearch_mv_012_d1bd3a66_00_steady,"{""high"": {""case"": ""postsearch_mv_012_d1bd3a66_00_high"", ""series_file"": ""postsearch_mv_012_d1bd3a66_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_012_d1bd3a66_00_high"", ""series_file"": ""postsearch_mv_012_d1bd3a66_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_013_3fc62a7c,"{""membrane_cp"": 1.3077427554149084, ""pb_cp"": 0.8605343847271489, ""pb_k"": 1.1233369473377384, ""stycast_k"": 1.3370232949524843, ""tes_cp"": 1.0504402168816314}",artifacts\search\post_multivariate\candidates\mv_013_3fc62a7c\trial_00\project.json,postsearch_mv_013_3fc62a7c_00_steady,"{""high"": {""case"": ""postsearch_mv_013_3fc62a7c_00_high"", ""series_file"": ""postsearch_mv_013_3fc62a7c_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_013_3fc62a7c_00_high"", ""series_file"": ""postsearch_mv_013_3fc62a7c_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_014_a6ee8fca,"{""membrane_cp"": 0.8775021462001008, ""pb_cp"": 1.116951304232245, ""pb_k"": 0.7819506233506293, ""stycast_k"": 1.8603015161452905, ""tes_cp"": 0.786501843425052}",artifacts\search\post_multivariate\candidates\mv_014_a6ee8fca\trial_00\project.json,postsearch_mv_014_a6ee8fca_00_steady,"{""high"": {""case"": ""postsearch_mv_014_a6ee8fca_00_high"", ""series_file"": ""postsearch_mv_014_a6ee8fca_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_014_a6ee8fca_00_high"", ""series_file"": ""postsearch_mv_014_a6ee8fca_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_015_dd2e18f6,"{""membrane_cp"": 0.7659038654145743, ""pb_cp"": 1.0400886252054853, ""pb_k"": 1.5230833095896068, ""stycast_k"": 1.0126425358763391, ""tes_cp"": 0.9069700669797238}",artifacts\search\post_multivariate\candidates\mv_015_dd2e18f6\trial_00\project.json,postsearch_mv_015_dd2e18f6_00_steady,"{""high"": {""case"": ""postsearch_mv_015_dd2e18f6_00_high"", ""series_file"": ""postsearch_mv_015_dd2e18f6_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_015_dd2e18f6_00_high"", ""series_file"": ""postsearch_mv_015_dd2e18f6_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_016_ed2b8f0b,"{""membrane_cp"": 1.3393700742735226, ""pb_cp"": 1.5064741140073552, ""pb_k"": 1.4868952278827792, ""stycast_k"": 0.695996530286531, ""tes_cp"": 0.7726464212959935}",artifacts\search\post_multivariate\candidates\mv_016_ed2b8f0b\trial_00\project.json,postsearch_mv_016_ed2b8f0b_00_steady,"{""high"": {""case"": ""postsearch_mv_016_ed2b8f0b_00_high"", ""series_file"": ""postsearch_mv_016_ed2b8f0b_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_016_ed2b8f0b_00_high"", ""series_file"": ""postsearch_mv_016_ed2b8f0b_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_017_b785a133,"{""membrane_cp"": 0.9278550964948036, ""pb_cp"": 0.7273506635751237, ""pb_k"": 1.0209639327509192, ""stycast_k"": 0.5082993283823665, ""tes_cp"": 0.7434677724534345}",artifacts\search\post_multivariate\candidates\mv_017_b785a133\trial_00\project.json,postsearch_mv_017_b785a133_00_steady,"{""high"": {""case"": ""postsearch_mv_017_b785a133_00_high"", ""series_file"": ""postsearch_mv_017_b785a133_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_017_b785a133_00_high"", ""series_file"": ""postsearch_mv_017_b785a133_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_018_7f7ca302,"{""membrane_cp"": 0.7789643713385467, ""pb_cp"": 1.4190550316323296, ""pb_k"": 0.8397347738679392, ""stycast_k"": 0.7785468024066757, ""tes_cp"": 0.7159414974364633}",artifacts\search\post_multivariate\candidates\mv_018_7f7ca302\trial_00\project.json,postsearch_mv_018_7f7ca302_00_steady,"{""high"": {""case"": ""postsearch_mv_018_7f7ca302_00_high"", ""series_file"": ""postsearch_mv_018_7f7ca302_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_018_7f7ca302_00_high"", ""series_file"": ""postsearch_mv_018_7f7ca302_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_019_b4a12610,"{""membrane_cp"": 1.0110035658676402, ""pb_cp"": 1.3211397698846685, ""pb_k"": 0.6644872545792841, ""stycast_k"": 1.9017454659831294, ""tes_cp"": 1.1210922741838039}",artifacts\search\post_multivariate\candidates\mv_019_b4a12610\trial_00\project.json,postsearch_mv_019_b4a12610_00_steady,"{""high"": {""case"": ""postsearch_mv_019_b4a12610_00_high"", ""series_file"": ""postsearch_mv_019_b4a12610_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_019_b4a12610_00_high"", ""series_file"": ""postsearch_mv_019_b4a12610_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_020_8f9b9bff,"{""membrane_cp"": 0.7001540573370063, ""pb_cp"": 0.8301780544508637, ""pb_k"": 1.4605467230080078, ""stycast_k"": 1.776508074094402, ""tes_cp"": 0.8006394533616774}",artifacts\search\post_multivariate\candidates\mv_020_8f9b9bff\trial_00\project.json,postsearch_mv_020_8f9b9bff_00_steady,"{""high"": {""case"": ""postsearch_mv_020_8f9b9bff_00_high"", ""series_file"": ""postsearch_mv_020_8f9b9bff_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_020_8f9b9bff_00_high"", ""series_file"": ""postsearch_mv_020_8f9b9bff_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_021_f84903c8,"{""membrane_cp"": 1.1033092337017731, ""pb_cp"": 1.036153636072745, ""pb_k"": 1.1520363875594273, ""stycast_k"": 0.9046277901362337, ""tes_cp"": 0.8183974301851217}",artifacts\search\post_multivariate\candidates\mv_021_f84903c8\trial_00\project.json,postsearch_mv_021_f84903c8_00_steady,"{""high"": {""case"": ""postsearch_mv_021_f84903c8_00_high"", ""series_file"": ""postsearch_mv_021_f84903c8_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_021_f84903c8_00_high"", ""series_file"": ""postsearch_mv_021_f84903c8_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_022_70e24439,"{""membrane_cp"": 0.6664604277962747, ""pb_cp"": 0.9520491836083099, ""pb_k"": 0.6522321525804272, ""stycast_k"": 1.397527770730341, ""tes_cp"": 1.4751194213812417}",artifacts\search\post_multivariate\candidates\mv_022_70e24439\trial_00\project.json,postsearch_mv_022_70e24439_00_steady,"{""high"": {""case"": ""postsearch_mv_022_70e24439_00_high"", ""series_file"": ""postsearch_mv_022_70e24439_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_022_70e24439_00_high"", ""series_file"": ""postsearch_mv_022_70e24439_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_023_9eeb4263,"{""membrane_cp"": 0.9526054184868274, ""pb_cp"": 0.713111931120359, ""pb_k"": 0.7040336144991821, ""stycast_k"": 0.9978528194665517, ""tes_cp"": 1.5024330590024197}",artifacts\search\post_multivariate\candidates\mv_023_9eeb4263\trial_00\project.json,postsearch_mv_023_9eeb4263_00_steady,"{""high"": {""case"": ""postsearch_mv_023_9eeb4263_00_high"", ""series_file"": ""postsearch_mv_023_9eeb4263_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_023_9eeb4263_00_high"", ""series_file"": ""postsearch_mv_023_9eeb4263_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_024_67b3f6bd,"{""membrane_cp"": 1.2683832394830612, ""pb_cp"": 0.9870686127403834, ""pb_k"": 0.6797838825664287, ""stycast_k"": 0.6240261546906282, ""tes_cp"": 1.2044412368147321}",artifacts\search\post_multivariate\candidates\mv_024_67b3f6bd\trial_00\project.json,postsearch_mv_024_67b3f6bd_00_steady,"{""high"": {""case"": ""postsearch_mv_024_67b3f6bd_00_high"", ""series_file"": ""postsearch_mv_024_67b3f6bd_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_024_67b3f6bd_00_high"", ""series_file"": ""postsearch_mv_024_67b3f6bd_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_025_5e3036c5,"{""membrane_cp"": 1.141043394362972, ""pb_cp"": 1.2925741393122188, ""pb_k"": 1.5849215501670633, ""stycast_k"": 0.5706704320430622, ""tes_cp"": 1.2374005894253648}",artifacts\search\post_multivariate\candidates\mv_025_5e3036c5\trial_00\project.json,postsearch_mv_025_5e3036c5_00_steady,"{""high"": {""case"": ""postsearch_mv_025_5e3036c5_00_high"", ""series_file"": ""postsearch_mv_025_5e3036c5_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_025_5e3036c5_00_high"", ""series_file"": ""postsearch_mv_025_5e3036c5_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_026_f67b0609,"{""membrane_cp"": 0.8821485499349762, ""pb_cp"": 1.0991213767688808, ""pb_k"": 0.7198429659782033, ""stycast_k"": 0.942861885120557, ""tes_cp"": 0.937761351699374}",artifacts\search\post_multivariate\candidates\mv_026_f67b0609\trial_00\project.json,postsearch_mv_026_f67b0609_00_steady,"{""high"": {""case"": ""postsearch_mv_026_f67b0609_00_high"", ""series_file"": ""postsearch_mv_026_f67b0609_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_026_f67b0609_00_high"", ""series_file"": ""postsearch_mv_026_f67b0609_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_027_3da09c93,"{""membrane_cp"": 0.7398447693521802, ""pb_cp"": 1.3880053691765575, ""pb_k"": 1.2113568364428973, ""stycast_k"": 0.5300329554994698, ""tes_cp"": 1.4237164370886946}",artifacts\search\post_multivariate\candidates\mv_027_3da09c93\trial_00\project.json,postsearch_mv_027_3da09c93_00_steady,"{""high"": {""case"": ""postsearch_mv_027_3da09c93_00_high"", ""series_file"": ""postsearch_mv_027_3da09c93_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_027_3da09c93_00_high"", ""series_file"": ""postsearch_mv_027_3da09c93_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_028_c35f96e3,"{""membrane_cp"": 1.0298350696865104, ""pb_cp"": 0.690565688345068, ""pb_k"": 0.8981445848356947, ""stycast_k"": 0.6359904261153604, ""tes_cp"": 0.7044603050626768}",artifacts\search\post_multivariate\candidates\mv_028_c35f96e3\trial_00\project.json,postsearch_mv_028_c35f96e3_00_steady,"{""high"": {""case"": ""postsearch_mv_028_c35f96e3_00_high"", ""series_file"": ""postsearch_mv_028_c35f96e3_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_028_c35f96e3_00_high"", ""series_file"": ""postsearch_mv_028_c35f96e3_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_029_b9e3d011,"{""membrane_cp"": 0.9885214957686302, ""pb_cp"": 0.8147308925828254, ""pb_k"": 1.1717311187628454, ""stycast_k"": 0.5170748113755778, ""tes_cp"": 1.5288028564068923}",artifacts\search\post_multivariate\candidates\mv_029_b9e3d011\trial_00\project.json,postsearch_mv_029_b9e3d011_00_steady,"{""high"": {""case"": ""postsearch_mv_029_b9e3d011_00_high"", ""series_file"": ""postsearch_mv_029_b9e3d011_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_029_b9e3d011_00_high"", ""series_file"": ""postsearch_mv_029_b9e3d011_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_030_05e9eeae,"{""membrane_cp"": 1.0827138560411484, ""pb_cp"": 1.1335596562934265, ""pb_k"": 1.205098113358042, ""stycast_k"": 1.4229855369736244, ""tes_cp"": 1.363160788903256}",artifacts\search\post_multivariate\candidates\mv_030_05e9eeae\trial_00\project.json,postsearch_mv_030_05e9eeae_00_steady,"{""high"": {""case"": ""postsearch_mv_030_05e9eeae_00_high"", ""series_file"": ""postsearch_mv_030_05e9eeae_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_030_05e9eeae_00_high"", ""series_file"": ""postsearch_mv_030_05e9eeae_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_031_a0939b09,"{""membrane_cp"": 0.7241577728004792, ""pb_cp"": 1.5960054968528397, ""pb_k"": 1.3783653686485329, ""stycast_k"": 0.838398973144281, ""tes_cp"": 0.8462043166580875}",artifacts\search\post_multivariate\candidates\mv_031_a0939b09\trial_00\project.json,postsearch_mv_031_a0939b09_00_steady,"{""high"": {""case"": ""postsearch_mv_031_a0939b09_00_high"", ""series_file"": ""postsearch_mv_031_a0939b09_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_031_a0939b09_00_high"", ""series_file"": ""postsearch_mv_031_a0939b09_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_032_85a5c2cd,"{""membrane_cp"": 1.1795586299990346, ""pb_cp"": 0.8781859170781385, ""pb_k"": 0.9396322184312903, ""stycast_k"": 1.0747268408240047, ""tes_cp"": 1.3218552918690731}",artifacts\search\post_multivariate\candidates\mv_032_85a5c2cd\trial_00\project.json,postsearch_mv_032_85a5c2cd_00_steady,"{""high"": {""case"": ""postsearch_mv_032_85a5c2cd_00_high"", ""series_file"": ""postsearch_mv_032_85a5c2cd_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_032_85a5c2cd_00_high"", ""series_file"": ""postsearch_mv_032_85a5c2cd_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_033_9e0d0468,"{""membrane_cp"": 1.2873600213041192, ""pb_cp"": 1.1595066131965597, ""pb_k"": 0.8251696536720783, ""stycast_k"": 1.4605330122882771, ""tes_cp"": 1.0096471432556438}",artifacts\search\post_multivariate\candidates\mv_033_9e0d0468\trial_00\project.json,postsearch_mv_033_9e0d0468_00_steady,"{""high"": {""case"": ""postsearch_mv_033_9e0d0468_00_high"", ""series_file"": ""postsearch_mv_033_9e0d0468_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_033_9e0d0468_00_high"", ""series_file"": ""postsearch_mv_033_9e0d0468_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_034_da367593,"{""membrane_cp"": 0.744639412616823, ""pb_cp"": 1.0616640911553565, ""pb_k"": 1.0022451587977879, ""stycast_k"": 1.9523245034521395, ""tes_cp"": 1.0762862928990502}",artifacts\search\post_multivariate\candidates\mv_034_da367593\trial_00\project.json,postsearch_mv_034_da367593_00_steady,"{""high"": {""case"": ""postsearch_mv_034_da367593_00_high"", ""series_file"": ""postsearch_mv_034_da367593_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_034_da367593_00_high"", ""series_file"": ""postsearch_mv_034_da367593_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_035_4fae8f29,"{""membrane_cp"": 0.6859563392480237, ""pb_cp"": 0.652733164615161, ""pb_k"": 0.9910666702261032, ""stycast_k"": 0.5778174850776496, ""tes_cp"": 0.7352122209343402}",artifacts\search\post_multivariate\candidates\mv_035_4fae8f29\trial_00\project.json,postsearch_mv_035_4fae8f29_00_steady,"{""high"": {""case"": ""postsearch_mv_035_4fae8f29_00_high"", ""series_file"": ""postsearch_mv_035_4fae8f29_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_035_4fae8f29_00_high"", ""series_file"": ""postsearch_mv_035_4fae8f29_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_036_1bbaf3e8,"{""membrane_cp"": 1.0588478283954799, ""pb_cp"": 0.7964163813180398, ""pb_k"": 1.0559514595572361, ""stycast_k"": 1.171777227387762, ""tes_cp"": 0.6625559775326754}",artifacts\search\post_multivariate\candidates\mv_036_1bbaf3e8\trial_00\project.json,postsearch_mv_036_1bbaf3e8_00_steady,"{""high"": {""case"": ""postsearch_mv_036_1bbaf3e8_00_high"", ""series_file"": ""postsearch_mv_036_1bbaf3e8_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_036_1bbaf3e8_00_high"", ""series_file"": ""postsearch_mv_036_1bbaf3e8_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_037_567e2128,"{""membrane_cp"": 0.8375376733542557, ""pb_cp"": 1.2060779079271216, ""pb_k"": 1.2555925924306963, ""stycast_k"": 1.6246531024207236, ""tes_cp"": 1.1546240853499723}",artifacts\search\post_multivariate\candidates\mv_037_567e2128\trial_00\project.json,postsearch_mv_037_567e2128_00_steady,"{""high"": {""case"": ""postsearch_mv_037_567e2128_00_high"", ""series_file"": ""postsearch_mv_037_567e2128_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_037_567e2128_00_high"", ""series_file"": ""postsearch_mv_037_567e2128_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
